Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Min,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Label_cleaned,Bwd Packet Length Min,Flow IAT Min,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd Packets/s,Min Packet Length,FIN Flag Count,RST Flag Count,URG Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Active Std,Idle Std
31.189414288000002,10,620,62,62,19.878539374769293,0.32062160281885954,3.4654904764444447,0,0,1.0,1,,,,,,,,,,,,,,,,,
18.627979983,18,1116,62,62,59.90987756152132,0.9662883477664729,1.0957635284117646,0,0,1.0,1,,,,,,,,,,,,,,,,,
25.627126561000004,11,660,60,60,25.75396029785112,0.429232671630852,2.5627126561000004,0,11,1.0,1,,,,,,,,,,,,,,,,,
29.11789566,16,960,60,60,32.969415482822015,0.5494902580470337,1.9411930439999998,0,16,1.0,1,,,,,,,,,,,,,,,,,
23.623308634000004,5,300,60,60,12.699321870951769,0.2116553645158628,5.905827158500001,0,5,1.0,1,,,,,,,,,,,,,,,,,
20.876976774000003,9,540,60,60,25.865814090118217,0.4310969015019703,2.6096220967500003,0,9,1.0,1,,,,,,,,,,,,,,,,,
28.119288246999997,9,540,60,60,19.203900015414217,0.3200650002569036,3.5149110308749996,0,9,1.0,1,,,,,,,,,,,,,,,,,
29.203483998,15,930,62,62,31.845515420820718,0.5136373454971084,2.0859631427142857,0,0,1.0,1,,,,,,,,,,,,,,,,,
26.363594949000003,17,1054,62,62,39.97937314842486,0.644828599168143,1.6477246843125002,0,0,1.0,1,,,,,,,,,,,,,,,,,
19.325179643000002,8,480,60,60,24.83806147560788,0.41396769126013133,2.7607399490000004,0,8,1.0,1,,,,,,,,,,,,,,,,,
29.216993333,13,806,62,62,27.58668528324026,0.44494653682645585,2.4347494444166666,0,0,1.0,1,,,,,,,,,,,,,,,,,
27.795816935000005,12,744,62,62,26.76661750002995,0.43171963709725725,2.5268924486363638,0,0,1.0,1,,,,,,,,,,,,,,,,,
19.327588519,11,660,60,60,34.14807798454456,0.5691346330757426,1.9327588518999999,0,11,1.0,1,,,,,,,,,,,,,,,,,
27.290390453999997,19,1178,62,62,43.16537727760281,0.6962157625419807,1.5161328029999999,0,0,1.0,1,,,,,,,,,,,,,,,,,
21.877770759,5,300,60,60,13.712548838029443,0.22854248063382407,5.46944268975,0,5,1.0,1,,,,,,,,,,,,,,,,,
21.716017941999997,19,1178,62,62,54.24567262498351,0.8749302036287663,1.206445441222222,0,0,1.0,1,,,,,,,,,,,,,,,,,
29.902366886,10,600,60,60,20.065301261517,0.33442168769195,3.3224852095555555,0,10,1.0,1,,,,,,,,,,,,,,,,,
28.426204919,13,806,62,62,28.35411910582801,0.45732450170690336,2.3688504099166665,0,0,1.0,1,,,,,,,,,,,,,,,,,
21.194413441000002,7,420,60,60,19.81654274930401,0.33027571248840015,3.532402240166667,0,7,1.0,1,,,,,,,,,,,,,,,,,
27.016218069000004,11,682,62,62,25.24409590780461,0.407162837222655,2.7016218069,0,0,1.0,1,,,,,,,,,,,,,,,,,
22.142918525999995,11,682,62,62,30.799914618265085,0.49677281642363036,2.2142918525999997,0,0,1.0,1,,,,,,,,,,,,,,,,,
20.832288557,15,930,62,62,44.6422387754179,0.7200361092809339,1.4880206112142855,0,0,1.0,1,,,,,,,,,,,,,,,,,
25.139048729000002,10,600,60,60,23.86725156023305,0.3977875260038842,2.7932276365555557,0,10,1.0,1,,,,,,,,,,,,,,,,,
27.602638848999998,10,600,60,60,21.73705214498856,0.362284202416476,3.066959872111111,0,10,1.0,1,,,,,,,,,,,,,,,,,
21.792706855,7,420,60,60,19.27250262184101,0.3212083770306835,3.6321178091666666,0,7,1.0,1,,,,,,,,,,,,,,,,,
27.646433645000002,8,480,60,60,17.362094733937244,0.28936824556562074,3.949490520714286,0,8,1.0,1,,,,,,,,,,,,,,,,,
23.784731044000004,6,360,60,60,15.13576080948851,0.25226268015814185,4.7569462088000005,0,6,1.0,1,,,,,,,,,,,,,,,,,
23.733899383,6,360,60,60,15.168177558629873,0.2528029593104979,4.746779876600001,0,6,1.0,1,,,,,,,,,,,,,,,,,
22.947305653,18,1116,62,62,48.633160549465224,0.7844058153139553,1.349841509,0,0,1.0,1,,,,,,,,,,,,,,,,,
29.703305710000002,15,930,62,62,31.309646444062402,0.5049942974848775,2.1216646935714283,0,0,1.0,1,,,,,,,,,,,,,,,,,
26.896772685000002,8,496,62,62,18.44087414534358,0.29743345395715454,3.842396097857143,0,0,1.0,1,,,,,,,,,,,,,,,,,
27.87833808,10,600,60,60,21.522086369647756,0.3587014394941293,3.09759312,0,10,1.0,1,,,,,,,,,,,,,,,,,
27.791739511,6,360,60,60,12.95348928617842,0.21589148810297368,5.5583479021999995,0,6,1.0,1,,,,,,,,,,,,,,,,,
26.44613174,12,720,60,60,27.225153647366653,0.45375256078944426,2.4041937945454546,0,12,1.0,1,,,,,,,,,,,,,,,,,
21.961440109,12,744,62,62,33.87755977328199,0.546412254407774,1.9964945553636364,0,0,1.0,1,,,,,,,,,,,,,,,,,
22.110218147,11,660,60,60,29.85045175094988,0.497507529182498,2.2110218147,0,11,1.0,1,,,,,,,,,,,,,,,,,
27.227141222999997,14,868,62,62,31.87995364224141,0.5141928006813131,2.0943954786923076,0,0,1.0,1,,,,,,,,,,,,,,,,,
